"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Joyce, James Augustine Aloysius, author, 1882-1941, http://isni.org/isni/N29264","person","040-002103785","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000173.0x0000ca","","","","","","","","","","","","","","[1923-1939]","","1 item","","Western Manuscripts. Add MS 47478","","English","FINNEGANS WAKE. Vol. VIII (ff. 390). (1) II, ii, pp. 282-304. (a) ff. 4-12;-(b) ff. 14-21;-(c) ff. 23-24;-(d) ff. 26-28;-(e) ff. 29-35;-(f) ff. 36-41b;-(g) ff. 43-65;-(h) ff. 67-82;-. (i) ff. 84-115. (2) II, ii, pp. 260-275, 304-306. (a) ff. 116-124, 286;-(b) ff. 126- 136;-(c) ff. 138-156b;-(d) ff. 157-159, 237;-(e) ff. 161-178;-(f) ff. 182-207;-(g) ff. 209-229;-(h) ff. 231-236. (3) II, ii, pp. 275-281. (a) ff. 239-241;-(b) ff. 242-248;-(c) ff. 249- 254;-(d) ff. 255-267,-(e) ff. 269-274;-(f) ff. 276-286;-(g) ff. 288- 298, 314;-(h) ff. 299-313, 315-327. (4) II, ii, pp. 260-308. (a) ff. 329-355;-(b) ff. 357-390. Included are letters from:-(a) James Joyce to Elliot Paul, 1928. Printed in Letters of James Joyce, ed. R. Ellmann, iii, 1966, p. 168. f. 25;-(b) Paul Léon to Miss Weaver, 29 Mar. 1937. f. 181. includes:. f. 25 James Augustine Aloysius Joyce, author: Letter to E. Paul: 1928; f. 181 Miss Harriet Shaw Weaver, Editor of 'The Egoist': Letters to, from P. Léon: 1937, 1938; f.181 Paul Léon, French author: Letters to Miss H. S. Weaver: 1937, 1938",""
"Joyce, James Augustine Aloysius, author, 1882-1941, http://isni.org/isni/N29264","person","040-002103800","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000173.0x0000d7","","","","","","","","","","","","","","1923-1938","","1 item","","Western Manuscripts. Add MS 47488","","English","FINNEGANS WAKE. Vol. XVIII (ff. 271; ff. 24-27, 99-101 are bound up with 47485). (1) Drafts as follows:-. (a) IV, pp. 593-604. (i) ff. 3-6;-(ii) ff. 8-13;-(iii) ff. 15-22. (b) IV, pp. 605-606. (i) f. 24;-(ii) f. 25;-(iii) ff. 25-26;-(iv) f. 27. (c) IV, pp. 593-607. (i) ff. 29-41;-(ii) ff. 43-68;-(iii) ff. 70-84. (d) IV, pp. 607-611, 612-614. ff. 87b-97. (e) IV, pp. 611-612. (i) f. 99;-(ii) f. 100;-(iii) f. 101;-(iv) ff. 102-103. (f) IV, pp. 607-614. ff. 105-113. (g) IV, pp. 614-619. ff. 116-118, 120b-125. (h) IV, pp. 614-628. ff. 129-137. (i) IV, pp. 614-615, 627. ff. 194b-197. (j) IV, pp. 619-628. (i) ff. 119-120, 126-127;-(ii) ff. 139b-150;-(iii) ff. 152b-160;-(iv) ff. 162-181;-(v) ff. 183b-192. (k) IV, pp. 593-628. (i) ff. 199-225;-(ii) ff. 226-228. (l) II, iii-IV, pp. 380-628. ff. 230-240. (2) Miscellaneous additions to proofs, etc. ff. 241-271. Viz.:-(a) 1, iii, pp. 25-209. Supplementary to 47476 B, ff. 426-474. ff. 250-252, 255, 56, 258, 270;-(b) (?) Part of II, i-ii, pp. 219-308, and supplementary to 7477, 47478. ff. 241-244;-(c) II, i, p. 233. Supplementary to 47477, f. 63b. f. 254;-(d) II, ii, pp. 264-265. Supplementary to 47478, ff. 116-124. f. 245-247;-(e) (?) II, ii, pp. 272-306, and supplementary to 47478, ff. 23-124.. f. 269;-(f) II, ii, pp. 285-302. Supplementary to 47478, ff. 81, 2. ff. 253, 257;-(g) II, iii, p. 337. Supplementary to 47479, ff. 193, 195. . 264;-(h) II, iii, pp. 355-379. Supplementary to 47480, ff. 180-213, 300- 19. ff. 260-263, 266;-(i) II, iv, p. 568. Cf. 47487, f.113b. f. 265. Included are letters to Miss Weaver from:-(a) James Joyce, 16 July, 2 Aug. 1923. Printed by R. Ellmann, op. cit, iii, p. 79. ff. 27b, 101b;-. (b) Paul Léon, 26 Sept. 1938. f. 268. includes:. ff. 27b, 101b Miss Harriet Shaw Weaver, Editor of 'The Egoist': Letters to, from J. A. A. Joyce: 1923; ff. 27b, 101b James Augustine Aloysius Joyce, author: Letters to Miss H. S. Weaver: 1923; f. 268 Miss Harriet Shaw Weaver, Editor of 'The Egoist': Letters to, from P. Léon: 1937, 1938; f. 268 Paul Léon, French author: Letters to Miss H. S. Weaver: 1937, 1938",""
"Joyce, James Augustine Aloysius, author, 1882-1941, http://isni.org/isni/N29264","person","040-002746529","File. Archives and Manuscripts","","","","ark:/81055/vdc_100022584822.0x000001","","Dent, Peter, poet and publisher","1938-","person","author","Alter, Robert, professor of literature, 1935- [author] ; Brownjohn, Alan Charles, poet, 1931- [author] ; Corbière, Édouard-Joachim, poet, known as Tristan Corbière, 1845-1875 [author] ; Cummings, Edward Estlin, writer and painter, called E E Cummings, 1894-1962 [author] ; Dent, Peter, poet and publisher, 1938- [author]","","","","","","","","1960-2005","","12 volumes","","Western Manuscripts. Add MS 89065/9/4","","English","Books by authors with surnames A-DE. Robert Alter. Joyce's 'Ulysses' and the Common Reader (Austin: Harry Ransom Humanities Research Center, 1997. The Stanley Burnshaw Lecture, 1997; Alan Brownjohn. Against Mathematics (London: Turret Books, 1998); Tristan Corbière. Les Amours Jaunes (Paris: Larousse, 1970); E. E. Cummings. Selected Poems, 1923-1958 (London: Faber and Faber, 1960). 'Uncorrected proof copy'; Peter Dent. Adversaria (Exeter: Stride, [2004]); Peter Dent. Distant Lamps (Sutton: Hippopotamus Press, 1980); Peter Dent. Handmade Equations (Exeter: Shearsman books, 2005); Peter Dent. Line (Heaton: Cloud, 1995); Peter Dent. Place to Place (Weymouth: Stingy Artist Book Company, 1993); Peter Dent. Proxima Centauri (London: Agenda Editions, 1972); Peter Dent. Simple Geometry (London: Oasis Books, 1999); Peter Dent. Surfaces (Egham: Interim Press, 1975)",""
"Joyce, James","general term","013707326","Monograph","Language material ; Text","Volume","","","9780813030333","International James Joyce Symposium, 18th, Trieste, Italy","2002","meeting/conference","","Knowles, Sebastian D. G. (Sebastian David Guy) [person] ; Lernout, Geert, 1954- [person] ; McCourt, John, 1965- [person] ; International James Joyce Symposium, 18th, Trieste, Italy, 2002 [meeting/conference]","Joyce in Trieste : an album of risky readings","","","","United States of America","Gainesville","Florida ; University Press","2007","","xii, 254 pages, 24 cm","823.912","m07/.23874","Congress","English","'The Trieste Symposium of 2002 is widely regarded among Joyceans as having had the best academic program of any International James Joyce Symposium since 1971, which was also held in Trieste'--Introduction ; Includes index",""
"Joyce, James","general term","015383727","Monograph","Language material ; Text","Volume","","","9780813034027","","","","","Beja, Morris [person] ; Fogarty, Anne, 1958- [person]","Bloomsday 100 : essays on Ulysses","Bloomsday one hundred","The Florida James Joyce series","","United States of America","Gainesville","Florida ; University Press","2009","","xii, 254 pages, illustrations, 25 cm","823.912","m09/.34177","","English","Papers from the Bloomsday 100 Symposium, held in the National College of Ireland, Dublin, June 12-19, 2004",""
"Joyce, James","person","019378102","Monograph","Language material ; Text","Online resource","GBB980751","","9781441193094","Mahon, Peter","1971-","person","","Mahon, Peter, 1971- [person]","Joyce : a guide for the perplexed","","Guides for the perplexed series","","England ; United States of America","London ; New York","Continuum","2009","","1 online resource (xi, 197 pages)","823.912","ELD.DS.414227","Criticsm and interpretation","English","",""
"Joyce, James","person","019379877","Monograph","Language material ; Text","Online resource","GBB981619","","9781441179579","Sheehan, Sean","1951-","person","","Sheehan, Sean, 1951- [person]","Joyce's Ulysses : a reader's guide","Ulysses","Continuum reader's guides","","England ; United States of America","London ; New York","Continuum","2009","","1 online resource (v, 133 pages)","823.912","ELD.DS.415431","","English","",""
"Joyce, James","person","019390260","Monograph","Language material ; Text","Online resource","GBB987578","","9781441106407","Lernout, Geert","1954-","person","","Lernout, Geert, 1954- [person]","Help my unbelief : James Joyce and religion","","","","England ; United States of America","London ; New York","Continuum","2010","","1 online resource (239 pages)","823.912","ELD.DS.417845","Criticsm and interpretation","English","",""
"Joyce, James, 1882-1924--Crítica e interpretación","general term","013493277","Monograph","Language material ; Text","Volume","","","9780972989244","","","","","MacCarthy, Anne, 1964- [person] ; Domínguez Pena, Mla. Susana (Manuela Susana), editor [person] ; Estévez Saá, Margarita [person]","The Scallop of Saint James : an old pilgrim's hoard : reading Joyce from the peripheries = Leyendo a Joyce desde las periferias : including 'Two little clouds' by Joseph O'Connor","","Irish studies series","","United States of America","Weston, Florida","Netbiblo","2006","","xxxiii, 242 pages, 1 illustration, 24 cm","","YD.2006.a.6487","","English ; Spanish","Chapters in English and some in Spanish, with English/Spanish preface and introduction ; Referencias bibliográficas . -- Textos en español e inglés . -- En la portada: Instituto Universitario de Estudios Irlandese 'Amergin'",""
"Joyce, James, 1882-1941","person","000585879","Monograph","Language material ; Text","Volume","","","","Campbell, Joseph","1904-1987","person","","Campbell, Joseph, 1904-1987 [person] ; Robinson, Henry Morton, 1898-1961 [person]","A skeleton key to Finnegan's Wake","","","","England","London","Faber & Faber","1947","","297 pages, 23 cm","","11867.ff.5 ; 823.9 *2957* ; W12/3940","","English","",""
"Joyce, James, 1882-1941","person","000851216","Monograph","Language material ; Text","Volume","","","","Dahl, Liisa","","person","","Dahl, Liisa [person]","Linguistic features of the stream-of-consciousness techniques of James Joyce, Virginia Woolf and Eugene O'Neill","","Turun Yliopiston julkaisuja. sar. B","osa. 116 [Turun Yliopiston julkaisuja. sar. B]","Finland","Turku","","1970","","78 pages, 25 cm","","0963/352000 ; Ac.1095.f/2 (2) osa 116","","","",""
"Joyce, James, 1882-1941","person","001005612","Monograph","Language material ; Text","Volume","","","","Duncan, Edward, of Winnipeg","","person","","Duncan, Edward, of Winnipeg [person]","Unsubstantial Father : a study of the Hamlet symbolism in Joyce's Ulysses","","","","","","","1950","","","","11860.ff.25","","English","reprinted from the University of Toronto Quarterly",""
"Joyce, James, 1882-1941","person","001682323","Monograph","Language material ; Text","Volume","","","","Hildesheimer, Wolfgang","1916-1991","person","","Hildesheimer, Wolfgang, 1916-1991 [person]","Interpretationen. James Joyce. Georg Büchner. Zwei Frankfurter Vorlesungen","","Edition Suhrkamp","number 297 [Edition Suhrkamp]","Germany","Frankfurt am Main","Suhrkamp","1969","","111 pages, 18 cm","","X.907/11240","","German","Contents: Übersetzung und Interpretation einer Passage aus 'Finnegans Wake' von James Joyce.-Über Georg Büchner.-Die Wirklichkeit des Absurden.-Das absurde Ich",""
"Joyce, James, 1882-1941","person","001699664","Monograph","Language material ; Text","Volume","","","","Hodgart, Matthew John Caldwell","","person","","Worthington, Mabel Parker, 1912- [person] ; Hodgart, Matthew John Caldwell [person]","Song in the works of James Joyce","","","","United States of America","New York","Columbia University Press ; Temple University Publications","1959","","vi, 217 pages (8°)","","11875.v.42 ; X3/4638","","","",""
"Joyce, James, 1882-1941","person","001908463","Monograph","Language material ; Text","Volume","","","","","","","","","Our Exagmination round his Factification for Incamination of Work in Progress, etc","","","","France","Paris","Shakespeare","1929","","194 pages (8°)","","11822.s.31 ; X.958/8583","","","Essays by various authors on James Joyce, with special reference to 'Work in Progress.'",""
"Joyce, James, 1882-1941","person","001949738","Monograph","Language material ; Text","Volume","","","","Kenner, Hugh","","person","","Kenner, Hugh [person]","Flaubert, Joyce and Beckett. The Stoic comedians. With drawings by Guy Davenport","","","","","Boston","Beacon","1962","","xviii, 106 pages (8°)","","011881.bb.33","","","",""
"Joyce, James, 1882-1941","person","001949739","Monograph","Language material ; Text","Volume","","","","Kenner, Hugh","","person","","Kenner, Hugh [person]","Flaubert, Joyce and Beckett. The Stoic comedians. With drawings by Guy Davenport","","","","England","London","W. H. Allen","1964","","xviii, 106 pages (8°)","","L64/359 ; W24/3413 ; W24/4972 ; X.909/1718","","","",""
"Joyce, James, 1882-1941","person","003304667","Monograph","Language material ; Text","Volume","","","","Schutte, William Metcalf","","person","","Schutte, William Metcalf [person]","Joyce and Shakespeare : a study in the meaning of Ulysses","","Yale Studies in English","volume 134 [Yale Studies in English]","United States of America","New Haven","Yale University Press","1957","","xiv, 197 pages (8°)","","Ac.2692.ma/3 (134)","","English","",""
"Joyce, James, 1882-1941","person","005583104","Monograph","Language material ; Text","Volume","GB7426998","","9780115113611","","","","","Great Britain, Department of Trade [organisation]","Bankruptcy : general annual report","","","","England","London","H.M.S.O","1974","","30 pages, 25 cm","823.912","","","English","Previously issued by the Department of Trade and Industry",""
"Joyce, James, 1882-1941","person","005583105","Monograph","Language material ; Text","Volume","GB7526403","","9780115113628","","","","","Great Britain, Department of Trade [organisation]","Bankruptcy : general annual report","","","","England","London","H.M.S.O","1975","","3, 24 pages, 21 cm","823.912","","","English","",""
"Joyce, James, 1882-1941","person","005598522","Monograph","Language material ; Text","Volume","GB7513275","","9780950414812","Hart, Clive","","person","","Knuth, Leo [person] ; Hart, Clive [person]","A topographical guide to James Joyce's 'Ulysses'","","","","England","Colchester ; Department of Literature, University of Essex, Colchester CO4 3SQ","A Wake Newslitter Press","1975","","72 pages, 30 cm","823.912","","","English","",""
"Joyce, James, 1882-1941","person","005664608","Monographic component part","Language material ; Text","Volume","","","9780835714082","Halper, Nathan","","person","","Halper, Nathan [person]","Studies in Joyce","","","","United States of America","Ann Arbor, Michigan","UMI Research","1983","","","823.912","8491.124400","","English","",""
"Joyce, James, 1882-1941","person","005665497","Monographic component part","Language material ; Text","Volume","","","9780835714600","Madtes, Richard E.","","person","","Madtes, Richard E. [person]","The 'Ithaca' chapter of Joyce's Ulysses","","","","England","Ann Arbor","","1983","","","823.912","8491.124400","","English","",""
"Joyce, James, 1882-1941","person","005685297","Monographic component part","Language material ; Text","Volume","","","9783533029939 ; 9783533029946","Schöneich, Christoph","","person","","Schöneich, Christoph [person]","Epos und Roman, James Joyces 'Ulysses' : Beitrag zu einer historisierten Gattungspoetik","","","","Germany","Heidelberg","Winter","1981","","","823.912","0902.778000","","German","",""
"Joyce, James, 1882-1941","person","006013679","Monographic component part","Language material ; Text","Volume","","","9780805780642 ; 9780805781250","Harkness, Marguerite","","person","","Harkness, Marguerite [person]","A portrait of the artist as a young man : voices of the text","","","","United States of America","Boston","Twayne","1990","","","823.912","9076.753400","","English","",""
"Joyce, James, 1882-1941","person","006087768","Monographic component part","Language material ; Text","Volume","","","9780824012113","","","","","Harty, John [person]","James Joyce's Finnegans wake : a casebook","","","","England ; United States of America","London ; New York","Garland","1991","","","823.912","4072.280000","","English","",""
"Joyce, James, 1882-1941","person","006185903","Monographic component part","Language material ; Text","Volume","","","9780873527118 ; 9780873527125","","","","","Steinberg, Erwin Ray [person] ; McCormick, Kathleen, 1954- [person]","Approaches to teaching Joyce's Ulysses","","","","United States of America","New York","Modern Language Association of America","1993","","","823.912","1580.560000","","English","",""
"Joyce, James, 1882-1941","person","006450683","Monographic component part","Language material ; Text","Volume","","","9780893701932 ; 9780893702939","Empric, Julienne H. (Julienne Helen)","1946-","person","","Empric, Julienne H. (Julienne Helen), 1946- [person]","The woman in the portrait : the transforming female in James Joyce's A portrait of the artist as a young man","","Milford series Popular writers of today","volume 59 [Milford series Popular writers of today]","United States of America","San Bernardino, California","Borgo Press","1997","","200 pages, 22 cm","823.912","6551.700000","","English","bibliography: p183-193. - Includes index",""
"Joyce, James, 1882-1941","person","006464815","Monographic component part","Language material ; Text","Volume","","","9780889464933 ; 9780889469273","McCormick, Kathleen","1954-","person","","McCormick, Kathleen, 1954- [person]","Ulysses, 'Wandering Rocks,' and the reader : multiple pleasures in reading","","Studies in British literature","volume 12 [Studies in British literature]","Wales","Lampeter ; Lewiston","E. Mellen Press","1991","","183 pages, 24 cm","823.912","8489.709300","","English","",""
"Joyce, James, 1882-1941","person","006491825","Monograph","Language material ; Text","Volume","","","9780252025136 ; 9780252068676","Eberly, Rosa A.","","person","","Eberly, Rosa A. [person]","Citizen critics : literary public spheres","","","","United States of America","Urbana","University of Illinois Press","2000","","","813.50901","m00/21313","","English","",""
"Joyce, James, 1882-1941","person","006608320","Monographic component part","Language material ; Text","Volume","","","9780415942065","Brannon, Julie Sloan","","person","","Brannon, Julie Sloan [person]","Who reads Ulysses? : the rhetoric of the Joyce wars and the common reader","","Studies in major literary authors","volume 19 [Studies in major literary authors]","England ; United States of America","London ; New York","Routledge","2003","","xxii, 200 pages, 24 cm","823.912","8491.042800","","English","",""
"Joyce, James, 1882-1941","person","006628092","Monographic component part","Language material ; Text","Volume","","","9780773470354 ; 9780773479838","Lin, Yu-Chen","1956-","person","","Lin, Yu-Chen, 1956- [person]","Justice, history, and language in James Joyce's Finnegans wake","","Studies in Irish literature","volume 9 [Studies in Irish literature]","Wales","Lampeter ; Lewiston, New York","Edwin Mellen","2002","","xiii, 193 pages, 24 cm","823.912","8490.780500","","English","",""
"Joyce, James, 1882-1941","person","006701862","Monograph","Language material ; Text","Volume","","","","Wunderlich, Paul","1927-2010","person","","Wunderlich, Paul, 1927-2010 [person] ; Lenz, Hermann, 1913-1998 [person]","Giacomo Joyce : Vorzeichnungen zu der Mappe 'Giacomo Joyce'","","Konzepte","19 [Konzepte]","Germany","Stuttgart-Möhringen","Manus","1976","","16 pages, chiefly illustrations, 41 cm","","L.50/46 ; L.R.416.y.4","","German","",""
"Joyce, James, 1882-1941","person","006703636","Monograph","Language material ; Text","Volume","","","","Aravantinou, Mantō","","person","","Aravantinou, Mantō [person]","Ta hellēnika tou Tzaiēms Tzoys [James Joyce]","","","","Greece","Athēna","Hermēs","1977","","xxv, 27_240 pages, illustrations, facsimiles, portraits, 21 cm","","X:909/85917","","Greek, Modern (1453-)","",""
"Joyce, James, 1882-1941","person","006750069","Monograph","Language material ; Text","Volume","","","9783476012920","Sonnemann, Ulrich","","person","","Sonnemann, Ulrich [person] ; Fiebig, Paul, 1942- [person]","Müllberge des Vergessens : elf Einsprüche","","","","Germany","Stuttgart","J B Metzler","1995","","volumes, 140 pages, 22 cm","","YA.2000.a.11649","","German","",""
"Joyce, James, 1882-1941","person","006892689","Monograph","Language material ; Text","Volume","GBA4Z3343","","9780500511596","Gunn, Ian","","person","","Beck, Harald [person] ; Hart, Clive [person] ; Gunn, Ian [person]","James Joyce's Dublin : a topographical guide to the Dublin of Ulysses","Topographical guide to James Joyce's Ulysses","","","England","London","Thames & Hudson","2004","","160 pages, illustrations, maps, 31 cm","823.912","LC.31.b.1751","Guidebook ; Map","English","revised edition of: A topographical guide to James Joyce's Ulysses / Clive Hart and Leo Knuth. Colchester : A Wake Newslitter Press, 1975",""
"Joyce, James, 1882-1941","person","006897022","Monograph","Language material ; Text","Volume","GBA4Y6184","","9781859182932","Norris, Margot","","person","","Norris, Margot [person]","Ulysses","","Ireland into film","8 [Ireland into film]","Ireland","Cork","Cork University Press","2004","","102 pages, illustrations, 19 cm","791.4372","YK.2008.a.19513","","English","",""
"Joyce, James, 1882-1941","person","006905145","Monograph","Language material ; Text","Volume","GBA4Y1986","","9780863223242","","","","","O'Connor, Ulick [person]","The Joyce we knew : memoirs of Joyce","","","","Ireland","Brandon ; Dingle","","2004","Revised edition","126 pages, 20 cm","823.912","YC.2007.a.4053","Biography","English","'revised and expanded edition of the book of the same name originally published by The Mercier Press in 1967'--T.p. verso",""
"Joyce, James, 1882-1941","person","006907538","Monograph","Language material ; Text","Volume","GBA4Z2877","","9780791076682","","","","","Bloom, Harold [person]","Leopold Bloom","","Bloom's major literary characters","","United States of America","Broomall, Pennsylvania ; Northam","Chelsea House ; Roundhouse","2004","","xiii, 179 pages, 25 cm","823.912","","","English","",""
"Joyce, James, 1882-1941","person","006907653","Monograph","Language material ; Text","Volume","GBA4Z2908","","9780791075760","","","","","Bloom, Harold [person]","James Joyce's Ulysses","Ulysses","Bloom's modern critical interpretations","","United States of America","Broomall, Pennsylvania ; Northam","Chelsea House ; Roundhouse","2004","","vii, 239 pages, 24 cm","823.912","","","English","",""
"Joyce, James, 1882-1941","person","006918398","Monograph","Language material ; Text","Volume","GBA2U6888","","9780333777695 ; 9780333777701","","","","","Thacker, Andrew, 1962- [person]","Dubliners","","New casebooks","","England","Basingstoke","Palgrave Macmillan","2006","","ix, 229 pages, 23 cm","823.912","YC.2008.a.3407","","English","",""
"Joyce, James, 1882-1941","person","006933120","Monograph","Language material ; Text","Volume","GBA0V5864","","9781903342244","","","","","","James Joyce, Dubliners","","","","England","Ware","Wordsworth","2000","","80 pages, maps, 20 cm","823.912","","","English","",""
"Joyce, James, 1882-1941","person","006942633","Monograph","Language material ; Text","Volume","GBA2W9731","","9780333781951 ; 9780333781968","","","","","Coyle, John [person]","A portrait of the artists as a young man","","","","England","Basingstoke","Palgrave","2002","","240 pages, 22 cm","823.912","","","English","",""
"Joyce, James, 1882-1941","person","006945502","Monograph","Language material ; Text","Volume","GBA855785","","9780312000868 ; 9780333556139","Schwarz, Daniel R.","","person","","Schwarz, Daniel R. [person]","Reading Joyce's Ulysses","","","","England","Basingstoke","Palgrave Macmillan","2004","","xiii, 295 pages, 22 cm","823.912","YC.2008.a.4299","","English","Originally published: Basingstoke : Macmillan, 1987",""
"Joyce, James, 1882-1941","person","007063162","Monograph","Language material ; Text","Volume","GB8721166","","9780674078536","French, Marilyn","1929-2009","person","","French, Marilyn, 1929-2009 [person]","The book as world : James Joyce's Ulysses","","","","England","Cambridge, Massachusetts ; London","Harvard University","1977","","295 pages, 24 cm","823.912","","","English","Includes index",""
"Joyce, James, 1882-1941","person","007067298","Monograph","Language material ; Text","Volume","GB9500195","","9780299108205","Bishop, John","1948-","person","","Bishop, John, 1948- [person]","Joyce's book of the dark : Finnegans wake","","","","England","London ; Madison, Wisconsin","University of Wisconsin Press","1987","","xvi, 479 pages, illustrations, maps, 26 cm","823.912","","","English","bibliography: p.389-462. _ Includes index",""
"Joyce, James, 1882-1941","person","007095219","Monograph","Language material ; Text","Volume","","","9780717112739 ; 9780815623953 ; 9780815623960","Gordon, John","1945-","person","","Gordon, John, 1945- [person]","Finnegans wake : a plot summary","","","","Ireland","Dublin","Gill & Macmillan","1986","","","823.912","87/00182","","English","",""
"Joyce, James, 1882-1941","person","007105364","Monograph","Language material ; Text","Volume","","","9780801425097","Bell, Robert H.","","person","","Bell, Robert H. [person]","Jocoserious Joyce : the fate of folly in Ulysses","","","","United States of America","Ithaca","Cornell University Press","1991","","","823.912","91/07566","","English","",""
"Joyce, James, 1882-1941","person","007106616","Monograph","Language material ; Text","Volume","","","9780691065472","McMichael, James","","person","","McMichael, James [person]","Ulysses and justice","","","","United States of America","Princeton, New Jersey","Princeton University Press","1991","","","823.912","91/08722","","English","",""
"Joyce, James, 1882-1941","person","007120561","Monograph","Language material ; Text","Volume","","","9780809320165","Ingersoll, Earl G.","1938-","person","","Ingersoll, Earl G., 1938- [person]","Engendered trope in Joyce's Dubliners","","","","United States of America","Carbondale","Southern Illinois University Press","1996","","xv, 193 pages, 23 cm","","96/10310","","English","",""
"Joyce, James, 1882-1941","person","007126457","Monograph","Language material ; Text","Volume","","","9780195127201","North, Michael","1951-","person","","North, Michael, 1951- [person]","Reading 1922 : a return to the scene of the modern","","","","United States of America","New York","Oxford University Press","1999","","","820.9112","m00/10432","","English","",""
"Joyce, James, 1882-1941","person","007139669","Monograph","Language material ; Text","Volume","","","9780300078053","Schwaber, Paul","1936-","person","","Schwaber, Paul, 1936- [person]","The cast of characters : a psychoanalyst's reading of Ulysses","","","","United States of America","New Haven","Yale University","2000","","","823.912","99/39131","","English","",""
"Joyce, James, 1882-1941","person","007152123","Monograph","Language material ; Text","Volume","GBA594471","","9780812237399","Norris, Margot","","person","","Norris, Margot [person]","Suspicious readings of Joyce's Dubliners","","","","United Kingdom ; United States of America","Philadephia, Pennsylvania","University of Pennsylvania","2003","","viii, 279 pages, 24 cm","823.912","YC.2005.a.12401 ; m03/37285","","English","",""
"Joyce, James, 1882-1941","person","007218677","Monograph","Language material ; Text","Volume","","","9780815624264","Begnal, Michael H.","1939-","person","","Begnal, Michael H., 1939- [person]","Dreamscheme : narrative and voice in Finnegans wake","","","","United States of America","","Syracuse University Press","1988","","xvi, 127 pages","823.912","YK.1991.a.694","","English","",""
"Joyce, James, 1882-1941","person","007219504","Monograph","Language material ; Text","Volume","","","9780814204672","","","","","Beja, Morris [person] ; Benstock, Shari, 1944- [person]","Coping with Joyce","","","","United States of America","","Ohio State University Press","1989","","xviii, 280 pages","","YC.1991.b.3671","","English","",""
"Joyce, James, 1882-1941","person","007220778","Monograph","Language material ; Text","Volume","","","9780815624714","Bowen, Zack","1934-","person","","Bowen, Zack, 1934- [person]","Ulysses as a comic novel","","","","United States of America","Syracuse, New York","Syracuse University Press","1989","","xv, 150 pages, 21 cm","823.912","YC.1992.a.765","","English","Includes index",""
"Joyce, James, 1882-1941","person","007221790","Monograph","Language material ; Text","Volume","","","9780823213405 ; 9780823213412","","","","","Carey, Phyllis [person] ; Jewinski, Ed [person]","Re: Joyce'n Beckett","","","","United States of America","New York","Fordham University Press","1992","","xviii, 199 pages, 23 cm","820.994150904","92/23046 ; YC.1993.b.3073","","English","",""
"Joyce, James, 1882-1941","person","007224098","Monograph","Language material ; Text","Volume","","","9780801424410","Hayman, David","1927-","person","","Hayman, David, 1927- [person]","The 'Wake' in transit","","","","United States of America","Ithaca","Cornell University Press","1990","","xiv, 208 pages, 24 cm","823.912","YA.1993.b.4588","","English","Includes index",""
"Joyce, James, 1882-1941","person","007227176","Monograph","Language material ; Text","Volume","","","9780801425097","Bell, Robert H. (Robert Huntley)","1946-","person","","Bell, Robert H. (Robert Huntley), 1946- [person]","Jocoserious Joyce : the fate of folly in Ulysses","","","","United States of America","Ithaca","Cornell University Press","1991","","xii, 231 pages","823.912","YA.1993.b.8053","","English","",""
"Joyce, James, 1882-1941","person","007274120","Monograph","Language material ; Text","Volume","","","9783261045973","Weiss-Balla, Klára","","person","","Weiss-Balla, Klára [person]","A cohesive presence : the girl image as subtext in James Joyce's A portrait of the artist as a young man","","European university studies. Series 14, Anglo-saxon language and literature","volume 255 [European university studies. Series 14, Anglo-saxon language and literature]","Switzerland","Bern","Lang","1992","","361 pages, illustrations, 23 cm","823.912","YA.1993.a.25931","","English","",""
"Joyce, James, 1882-1941","person","007282484","Monograph","Language material ; Text","Volume","","","","Guerra, Lia","","person","","Guerra, Lia [person]","Interpreting James Joyce's Dubliners : an experiment in methods","","Los","6 [Los]","Italy","Udine","Campanotto","1992","","107 pages, 19 cm","","YA.1995.a.663","","English","At head of title: Università degli studi di Pavia, Dipartimento di lingue e letterature straniere moderne",""
"Joyce, James, 1882-1941","person","007291500","Monograph","Language material ; Text","Volume","","","9785876890078","Khoruzhiĭ, S. S. (Sergeĭ Sergeevich)","","person","","Khoruzhiĭ, S. S. (Sergeĭ Sergeevich) [person]","'Uliss' v russkom zerkale","","","","Russia","Moskva","Tetra","1994","","244 pages","","YA.1996.a.1696","","Russian","",""
"Joyce, James, 1882-1941","person","007328226","Monograph","Language material ; Text","Volume","","","","Ruggieri Punzo, Franca","","person","","Ruggieri Punzo, Franca [person]","Maschere dell'artista : il giovane Joyce","","Studi e ricerche / Università di Roma 'La sapienza', Facoltà di lettere e filosofia. Istituto di letteratura inglese e americana","20 [Studi e ricerche / Università di Roma 'La sapienza', Facoltà di lettere e filosofia. Istituto di letteratura inglese e americana]","Italy","Roma","Bulzoni","1986","","266 pages","","YA.1987.a.1182","","English ; Italian","",""
